( 61 : 5 ) : [<3:1:6>, <5:5:10>, <9:7:18>, <11:11:22>, <15:13:30>]
( 62 : 5 ) : [<3:1:6>, <5:5:10>, <9:7:18>, <11:11:22>, <14:14:28>]
( 63 : 5 ) : [<3:1:6>, <5:5:10>, <9:7:18>, <11:11:22>, <13:15:26>]
( 64 : 5 ) : [<3:1:6>, <5:5:10>, <7:9:14>, <10:12:20>, <15:13:30>]
( 65 : 5 ) : [<3:1:6>, <5:5:10>, <7:9:14>, <10:12:20>, <14:14:28>]
( 66 : 5 ) : [<3:1:6>, <5:5:10>, <7:9:14>, <10:12:20>, <13:15:26>]
( 67 : 5 ) : [<3:1:6>, <5:5:10>, <7:9:14>, <12:10:24>, <15:13:30>]
( 68 : 5 ) : [<3:1:6>, <5:5:10>, <7:9:14>, <12:10:24>, <14:14:28>]
( 69 : 5 ) : [<3:1:6>, <5:5:10>, <7:9:14>, <12:10:24>, <13:15:26>]
( 70 : 5 ) : [<3:1:6>, <5:5:10>, <7:9:14>, <11:11:22>, <15:13:30>]
( 71 : 5 ) : [<3:1:6>, <5:5:10>, <7:9:14>, <11:11:22>, <14:14:28>]
( 72 : 5 ) : [<3:1:6>, <5:5:10>, <7:9:14>, <11:11:22>, <13:15:26>]
( 73 : 5 ) : [<3:1:6>, <5:5:10>, <8:8:16>, <10:12:20>, <15:13:30>]
( 74 : 5 ) : [<3:1:6>, <5:5:10>, <8:8:16>, <10:12:20>, <14:14:28>]
( 75 : 5 ) : [<3:1:6>, <5:5:10>, <8:8:16>, <10:12:20>, <13:15:26>]
( 76 : 5 ) : [<3:1:6>, <5:5:10>, <8:8:16>, <12:10:24>, <15:13:30>]
( 77 : 5 ) : [<3:1:6>, <5:5:10>, <8:8:16>, <12:10:24>, <14:14:28>]
( 78 : 5 ) : [<3:1:6>, <5:5:10>, <8:8:16>, <12:10:24>, <13:15:26>]
( 79 : 5 ) : [<3:1:6>, <5:5:10>, <8:8:16>, <11:11:22>, <15:13:30>]
( 80 : 5 ) : [<3:1:6>, <5:5:10>, <8:8:16>, <11:11:22>, <14:14:28>]
( 81 : 5 ) : [<3:1:6>, <5:5:10>, <8:8:16>, <11:11:22>, <13:15:26>]
( 82 : 5 ) : [<1:3:2>, <4:6:8>, <9:7:18>, <10:12:20>, <15:13:30>]
( 83 : 5 ) : [<1:3:2>, <4:6:8>, <9:7:18>, <10:12:20>, <14:14:28>]
( 84 : 5 ) : [<1:3:2>, <4:6:8>, <9:7:18>, <10:12:20>, <13:15:26>]
( 85 : 5 ) : [<1:3:2>, <4:6:8>, <9:7:18>, <12:10:24>, <15:13:30>]
( 86 : 5 ) : [<1:3:2>, <4:6:8>, <9:7:18>, <12:10:24>, <14:14:28>]
( 87 : 5 ) : [<1:3:2>, <4:6:8>, <9:7:18>, <12:10:24>, <13:15:26>]
( 88 : 5 ) : [<1:3:2>, <4:6:8>, <9:7:18>, <11:11:22>, <15:13:30>]
( 89 : 5 ) : [<1:3:2>, <4:6:8>, <9:7:18>, <11:11:22>, <14:14:28>]
( 90 : 5 ) : [<1:3:2>, <4:6:8>, <9:7:18>, <11:11:22>, <13:15:26>]
( 91 : 5 ) : [<1:3:2>, <4:6:8>, <7:9:14>, <10:12:20>, <15:13:30>]
( 92 : 5 ) : [<1:3:2>, <4:6:8>, <7:9:14>, <10:12:20>, <14:14:28>]
( 93 : 5 ) : [<1:3:2>, <4:6:8>, <7:9:14>, <10:12:20>, <13:15:26>]
( 94 : 5 ) : [<1:3:2>, <4:6:8>, <7:9:14>, <12:10:24>, <15:13:30>]
( 95 : 5 ) : [<1:3:2>, <4:6:8>, <7:9:14>, <12:10:24>, <14:14:28>]
( 96 : 5 ) : [<1:3:2>, <4:6:8>, <7:9:14>, <12:10:24>, <13:15:26>]
( 97 : 5 ) : [<1:3:2>, <4:6:8>, <7:9:14>, <11:11:22>, <15:13:30>]
( 98 : 5 ) : [<1:3:2>, <4:6:8>, <7:9:14>, <11:11:22>, <14:14:28>]
( 99 : 5 ) : [<1:3:2>, <4:6:8>, <7:9:14>, <11:11:22>, <13:15:26>]
( 100 : 5 ) : [<1:3:2>, <4:6:8>, <8:8:16>, <10:12:20>, <15:13:30>]
( 101 : 5 ) : [<1:3:2>, <4:6:8>, <8:8:16>, <10:12:20>, <14:14:28>]
( 102 : 5 ) : [<1:3:2>, <4:6:8>, <8:8:16>, <10:12:20>, <13:15:26>]
( 103 : 5 ) : [<1:3:2>, <4:6:8>, <8:8:16>, <12:10:24>, <15:13:30>]
( 104 : 5 ) : [<1:3:2>, <4:6:8>, <8:8:16>, <12:10:24>, <14:14:28>]
( 105 : 5 ) : [<1:3:2>, <4:6:8>, <8:8:16>, <12:10:24>, <13:15:26>]
( 106 : 5 ) : [<1:3:2>, <4:6:8>, <8:8:16>, <11:11:22>, <15:13:30>]
( 107 : 5 ) : [<1:3:2>, <4:6:8>, <8:8:16>, <11:11:22>, <14:14:28>]
( 108 : 5 ) : [<1:3:2>, <4:6:8>, <8:8:16>, <11:11:22>, <13:15:26>]
( 109 : 5 ) : [<1:3:2>, <6:4:12>, <9:7:18>, <10:12:20>, <15:13:30>]
( 110 : 5 ) : [<1:3:2>, <6:4:12>, <9:7:18>, <10:12:20>, <14:14:28>]
( 111 : 5 ) : [<1:3:2>, <6:4:12>, <9:7:18>, <10:12:20>, <13:15:26>]
( 112 : 5 ) : [<1:3:2>, <6:4:12>, <9:7:18>, <12:10:24>, <15:13:30>]
( 113 : 5 ) : [<1:3:2>, <6:4:12>, <9:7:18>, <12:10:24>, <14:14:28>]
( 114 : 5 ) : [<1:3:2>, <6:4:12>, <9:7:18>, <12:10:24>, <13:15:26>]
( 115 : 5 ) : [<1:3:2>, <6:4:12>, <9:7:18>, <11:11:22>, <15:13:30>]
( 116 : 5 ) : [<1:3:2>, <6:4:12>, <9:7:18>, <11:11:22>, <14:14:28>]
( 117 : 5 ) : [<1:3:2>, <6:4:12>, <9:7:18>, <11:11:22>, <13:15:26>]
( 118 : 5 ) : [<1:3:2>, <6:4:12>, <7:9:14>, <10:12:20>, <15:13:30>]
( 119 : 5 ) : [<1:3:2>, <6:4:12>, <7:9:14>, <10:12:20>, <14:14:28>]
( 120 : 5 ) : [<1:3:2>, <6:4:12>, <7:9:14>, <10:12:20>, <13:15:26>]
( 121 : 5 ) : [<1:3:2>, <6:4:12>, <7:9:14>, <12:10:24>, <15:13:30>]
( 122 : 5 ) : [<1:3:2>, <6:4:12>, <7:9:14>, <12:10:24>, <14:14:28>]
( 123 : 5 ) : [<1:3:2>, <6:4:12>, <7:9:14>, <12:10:24>, <13:15:26>]
( 124 : 5 ) : [<1:3:2>, <6:4:12>, <7:9:14>, <11:11:22>, <15:13:30>]
( 125 : 5 ) : [<1:3:2>, <6:4:12>, <7:9:14>, <11:11:22>, <14:14:28>]
( 126 : 5 ) : [<1:3:2>, <6:4:12>, <7:9:14>, <11:11:22>, <13:15:26>]
( 127 : 5 ) : [<1:3:2>, <6:4:12>, <8:8:16>, <10:12:20>, <15:13:30>]
( 128 : 5 ) : [<1:3:2>, <6:4:12>, <8:8:16>, <10:12:20>, <14:14:28>]
( 129 : 5 ) : [<1:3:2>, <6:4:12>, <8:8:16>, <10:12:20>, <13:15:26>]
( 130 : 5 ) : [<1:3:2>, <6:4:12>, <8:8:16>, <12:10:24>, <15:13:30>]
( 131 : 5 ) : [<1:3:2>, <6:4:12>, <8:8:16>, <12:10:24>, <14:14:28>]
( 132 : 5 ) : [<1:3:2>, <6:4:12>, <8:8:16>, <12:10:24>, <13:15:26>]
( 133 : 5 ) : [<1:3:2>, <6:4:12>, <8:8:16>, <11:11:22>, <15:13:30>]
( 134 : 5 ) : [<1:3:2>, <6:4:12>, <8:8:16>, <11:11:22>, <14:14:28>]
( 135 : 5 ) : [<1:3:2>, <6:4:12>, <8:8:16>, <11:11:22>, <13:15:26>]
( 136 : 5 ) : [<1:3:2>, <5:5:10>, <9:7:18>, <10:12:20>, <15:13:30>]
( 137 : 5 ) : [<1:3:2>, <5:5:10>, <9:7:18>, <10:12:20>, <14:14:28>]
( 138 : 5 ) : [<1:3:2>, <5:5:10>, <9:7:18>, <10:12:20>, <13:15:26>]
( 139 : 5 ) : [<1:3:2>, <5:5:10>, <9:7:18>, <12:10:24>, <15:13:30>]
( 140 : 5 ) : [<1:3:2>, <5:5:10>, <9:7:18>, <12:10:24>, <14:14:28>]
( 141 : 5 ) : [<1:3:2>, <5:5:10>, <9:7:18>, <12:10:24>, <13:15:26>]
( 142 : 5 ) : [<1:3:2>, <5:5:10>, <9:7:18>, <11:11:22>, <15:13:30>]
( 143 : 5 ) : [<1:3:2>, <5:5:10>, <9:7:18>, <11:11:22>, <14:14:28>]
( 144 : 5 ) : [<1:3:2>, <5:5:10>, <9:7:18>, <11:11:22>, <13:15:26>]
( 145 : 5 ) : [<1:3:2>, <5:5:10>, <7:9:14>, <10:12:20>, <15:13:30>]
( 146 : 5 ) : [<1:3:2>, <5:5:10>, <7:9:14>, <10:12:20>, <14:14:28>]
( 147 : 5 ) : [<1:3:2>, <5:5:10>, <7:9:14>, <10:12:20>, <13:15:26>]
( 148 : 5 ) : [<1:3:2>, <5:5:10>, <7:9:14>, <12:10:24>, <15:13:30>]
( 149 : 5 ) : [<1:3:2>, <5:5:10>, <7:9:14>, <12:10:24>, <14:14:28>]
( 150 : 5 ) : [<1:3:2>, <5:5:10>, <7:9:14>, <12:10:24>, <13:15:26>]
( 151 : 5 ) : [<1:3:2>, <5:5:10>, <7:9:14>, <11:11:22>, <15:13:30>]
( 152 : 5 ) : [<1:3:2>, <5:5:10>, <7:9:14>, <11:11:22>, <14:14:28>]
( 153 : 5 ) : [<1:3:2>, <5:5:10>, <7:9:14>, <11:11:22>, <13:15:26>]
( 154 : 5 ) : [<1:3:2>, <5:5:10>, <8:8:16>, <10:12:20>, <15:13:30>]
( 155 : 5 ) : [<1:3:2>, <5:5:10>, <8:8:16>, <10:12:20>, <14:14:28>]
( 156 : 5 ) : [<1:3:2>, <5:5:10>, <8:8:16>, <10:12:20>, <13:15:26>]
( 157 : 5 ) : [<1:3:2>, <5:5:10>, <8:8:16>, <12:10:24>, <15:13:30>]
( 158 : 5 ) : [<1:3:2>, <5:5:10>, <8:8:16>, <12:10:24>, <14:14:28>]
( 159 : 5 ) : [<1:3:2>, <5:5:10>, <8:8:16>, <12:10:24>, <13:15:26>]
( 160 : 5 ) : [<1:3:2>, <5:5:10>, <8:8:16>, <11:11:22>, <15:13:30>]
( 161 : 5 ) : [<1:3:2>, <5:5:10>, <8:8:16>, <11:11:22>, <14:14:28>]
( 162 : 5 ) : [<1:3:2>, <5:5:10>, <8:8:16>, <11:11:22>, <13:15:26>]
( 163 : 5 ) : [<2:2:4>, <4:6:8>, <9:7:18>, <10:12:20>, <15:13:30>]
( 164 : 5 ) : [<2:2:4>, <4:6:8>, <9:7:18>, <10:12:20>, <14:14:28>]
